"Well","Gene","Ct","TmValue","Bacteria","TDate","SamP","BioRep","PurifRep"
141,"idnT",26.61539,87.5,"WT","2020-08-01","F21","df1","rep1"
142,"idnT",26.311563,87.5,"WT","2020-08-01","F22","df1","rep1"
143,"idnT",25.655207,88,"WT","2020-08-01","F23","df1","rep1"
164,"Lnt2",22.190712,86.4,"WT","2020-08-01","G20","df1","rep1"
165,"Lnt2",22.985561,86.6,"WT","2020-08-01","G21","df1","rep1"
166,"Lnt2",23.177668,86.3,"WT","2020-08-01","G22","df1","rep1"
167,"Lnt2",22.85144,86.9,"WT","2020-08-01","G23","df1","rep1"
188,"Lnt",22.445267,90.5,"WT","2020-08-01","H20","df1","rep1"
189,"Lnt",23.130411,90.5,"WT","2020-08-01","H21","df1","rep1"
190,"Lnt",23.231611,90.5,"WT","2020-08-01","H22","df1","rep1"
191,"Lnt",22.032625,90.7,"WT","2020-08-01","H23","df1","rep1"
212,"miaB",17.851236,85.6,"WT","2020-08-01","I20","df1","rep1"
213,"miaB",18.441092,85.6,"WT","2020-08-01","I21","df1","rep1"
214,"miaB",17.997074,85.6,"WT","2020-08-01","I22","df1","rep1"
215,"miaB",18.381708,85.6,"WT","2020-08-01","I23","df1","rep1"
236,"ybeX",18.894075,84.7,"WT","2020-08-01","J20","df1","rep1"
237,"ybeX",19.487644,85,"WT","2020-08-01","J21","df1","rep1"
238,"ybeX",19.535738,84.7,"WT","2020-08-01","J22","df1","rep1"
239,"ybeX",19.337786,86.3,"WT","2020-08-01","J23","df1","rep1"
260,"ybeY",23.546986,86.1,"WT","2020-08-01","K20","df1","rep1"
261,"ybeY",23.92838,86.1,"WT","2020-08-01","K21","df1","rep1"
262,"ybeY",23.699917,86.1,"WT","2020-08-01","K22","df1","rep1"
263,"ybeY",24.201849,87.7,"WT","2020-08-01","K23","df1","rep1"
284,"ybeZ",21.433262,87.5,"WT","2020-08-01","L20","df1","rep1"
285,"ybeZ",22.668741,87.5,"WT","2020-08-01","L21","df1","rep1"
286,"ybeZ",22.942543,87.5,"WT","2020-08-01","L22","df1","rep1"
287,"ybeZ",22.532799,89.4,"WT","2020-08-01","L23","df1","rep1"
308,"ybeZY",20.917217,82,"WT","2020-08-01","M20","df1","rep1"
309,"ybeZY",21.222054,82,"WT","2020-08-01","M21","df1","rep1"
310,"ybeZY",20.592398,82.6,"WT","2020-08-01","M22","df1","rep1"
311,"ybeZY",20.33541,82.8,"WT","2020-08-01","M23","df1","rep1"
100,"CorA",21.078157,87.3,"WT","2020-08-01","E4","df1","rep1"
101,"cysG",20.286644,88.1,"WT","2020-08-01","E5","df1","rep1"
102,"frr",16.068361,92.6,"WT","2020-08-01","E6","df1","rep1"
103,"gyrA",20.345205,84.6,"WT","2020-08-01","E7","df1","rep1"
104,"hcaT",25.311907,89.5,"WT","2020-08-01","E8","df1","rep1"
105,"idnT",25.933508,87.8,"WT","2020-08-01","E9","df1","rep1"
106,"Lnt2",23.13743,86.7,"WT","2020-08-01","E10","df1","rep1"
107,"Lnt",23.45545,90.9,"WT","2020-08-01","E11","df1","rep1"
108,"miaB",17.931524,85.9,"WT","2020-08-01","E12","df1","rep1"
109,"ybeX",19.604614,85.1,"WT","2020-08-01","E13","df1","rep1"
110,"ybeY",22.602556,86.4,"WT","2020-08-01","E14","df1","rep1"
111,"ybeZ",22.766062,87.8,"WT","2020-08-01","E15","df1","rep1"
112,"ybeZY",21.166754,82.4,"WT","2020-08-01","E16","df1","rep1"
124,"CorA",21.4737,87.3,"WT","2020-08-01","F4","df1","rep1"
125,"cysG",20.187458,88.1,"WT","2020-08-01","F5","df1","rep1"
126,"frr",15.572888,86.8,"WT","2020-08-01","F6","df1","rep1"
127,"gyrA",20.070852,84.6,"WT","2020-08-01","F7","df1","rep1"
128,"hcaT",24.776266,89.5,"WT","2020-08-01","F8","df1","rep1"
129,"idnT",25.645498,87.8,"WT","2020-08-01","F9","df1","rep1"
130,"Lnt2",22.726883,86.7,"WT","2020-08-01","F10","df1","rep1"
131,"Lnt",23.44966,90.9,"WT","2020-08-01","F11","df1","rep1"
132,"miaB",17.903704,85.6,"WT","2020-08-01","F12","df1","rep1"
133,"ybeX",19.500305,85.1,"WT","2020-08-01","F13","df1","rep1"
134,"ybeY",24.302126,86.4,"WT","2020-08-01","F14","df1","rep1"
135,"ybeZ",21.99863,87.8,"WT","2020-08-01","F15","df1","rep1"
136,"ybeZY",21.312046,82.4,"WT","2020-08-01","F16","df1","rep1"
148,"CorA",20.670425,87.3,"WT","2020-08-01","G4","df1","rep1"
149,"cysG",20.102097,88.1,"WT","2020-08-01","G5","df1","rep1"
150,"frr",15.082033,86.8,"WT","2020-08-01","G6","df1","rep1"
151,"gyrA",20.481411,84.6,"WT","2020-08-01","G7","df1","rep1"
152,"hcaT",25.091045,89.5,"WT","2020-08-01","G8","df1","rep1"
153,"idnT",25.946125,87.8,"WT","2020-08-01","G9","df1","rep1"
154,"Lnt2",22.915857,86.7,"WT","2020-08-01","G10","df1","rep1"
155,"Lnt",23.459345,90.9,"WT","2020-08-01","G11","df1","rep1"
156,"miaB",18.209715,85.6,"WT","2020-08-01","G12","df1","rep1"
157,"ybeX",19.23438,85.1,"WT","2020-08-01","G13","df1","rep1"
158,"ybeY",24.34333,86.4,"WT","2020-08-01","G14","df1","rep1"
159,"ybeZ",22.334837,87.8,"WT","2020-08-01","G15","df1","rep1"
160,"ybeZY",21.370169,82.4,"WT","2020-08-01","G16","df1","rep1"
172,"CorA",21.325844,87.3,"WT","2020-08-01","H4","df1","rep2"
173,"cysG",20.436872,88.1,"WT","2020-08-01","H5","df1","rep2"
174,"frr",15.883745,86.8,"WT","2020-08-01","H6","df1","rep2"
175,"gyrA",20.512045,84.6,"WT","2020-08-01","H7","df1","rep2"
176,"hcaT",25.246788,89.5,"WT","2020-08-01","H8","df1","rep2"
177,"idnT",26.238848,87.8,"WT","2020-08-01","H9","df1","rep2"
178,"Lnt2",23.434828,86.7,"WT","2020-08-01","H10","df1","rep2"
179,"Lnt",23.634512,90.9,"WT","2020-08-01","H11","df1","rep2"
180,"miaB",17.932394,85.6,"WT","2020-08-01","H12","df1","rep2"
181,"ybeX",19.59758,85.1,"WT","2020-08-01","H13","df1","rep2"
182,"ybeY",23.939978,86.4,"WT","2020-08-01","H14","df1","rep2"
183,"ybeZ",22.998638,87.8,"WT","2020-08-01","H15","df1","rep2"
196,"CorA",21.111536,87.3,"WT","2020-08-01","I4","df1","rep2"
197,"cysG",20.241543,88.1,"WT","2020-08-01","I5","df1","rep2"
198,"frr",15.51738,86.8,"WT","2020-08-01","I6","df1","rep2"
199,"gyrA",21.098577,84.6,"WT","2020-08-01","I7","df1","rep2"
