"Well","Gene","Detector Name","Reporter","Task","Ct","TmValue","Tm Type","Ct Type","Baseline Type","Threshold Type","Threshold","Bacteria","TDate","SamP"
148,"CorA","SYBR","SYBR","Unknown",22.281696,87.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","G4"
149,"cysG","SYBR","SYBR","Unknown",21.605984,87.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","G5"
150,"frr","SYBR","SYBR","Unknown",17.518148,86.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","G6"
151,"gyrA","SYBR","SYBR","Unknown",21.127657,84.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","G7"
152,"hcaT","SYBR","SYBR","Unknown",25.820868,89.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","G8"
153,"idnT","SYBR","SYBR","Unknown",26.877445,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","G9"
154,"Lnt2","SYBR","SYBR","Unknown",23.760435,86.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","G10"
155,"Lnt","SYBR","SYBR","Unknown",25.177938,90.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","G11"
156,"miaB","SYBR","SYBR","Unknown",20.457598,85.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","G12"
157,"ybeX","SYBR","SYBR","Unknown",19.955904,84.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","G13"
158,"ybeY","SYBR","SYBR","Unknown",24.674305,86.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","G14"
159,"ybeZ","SYBR","SYBR","Unknown",22.517162,87.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","G15"
160,"ybeZY","SYBR","SYBR","Unknown",21.426567,82.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","G16"
172,"CorA","SYBR","SYBR","Unknown",22.19286,87.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","H4"
173,"cysG","SYBR","SYBR","Unknown",21.661072,87.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","H5"
174,"frr","SYBR","SYBR","Unknown",17.744703,86.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","H6"
175,"gyrA","SYBR","SYBR","Unknown",21.002878,84.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","H7"
176,"hcaT","SYBR","SYBR","Unknown",25.655209,89.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","H8"
177,"idnT","SYBR","SYBR","Unknown",26.604374,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","H9"
178,"Lnt2","SYBR","SYBR","Unknown",23.774712,86.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","H10"
179,"Lnt","SYBR","SYBR","Unknown",25.370636,90.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","H11"
180,"miaB","SYBR","SYBR","Unknown",20.507257,85.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","H12"
181,"ybeX","SYBR","SYBR","Unknown",19.903822,84.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","H13"
182,"ybeY","SYBR","SYBR","Unknown",24.84862,86.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","H14"
183,"ybeZ","SYBR","SYBR","Unknown",23.096443,87.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","H15"
